Dagger of Venom,,,faint,necromancy,,,,,,,,,5,none,1,"Craft Magic Arms and Armor, poison",4302,Weapon,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,1,0,faint,1,8302,4302,,+1 dagger,http://www.d20pfsrd.com/magic-items/magic-weapons#TOC-Dagger-of-Venom,13,0,0,0,0
"Boat, Folding",,,moderate,transmutation,,,,,,,,,6,none,4,"Craft Wondrous Item, fabricate, creator must have 2 ranks in the Craft (ships) skill",3600,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,moderate,4,7200,3600,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Boat-Folding,118,0,0,0,0
"Boots, Winged",,,moderate,transmutation,,,,,,,,,8,feet,1,"Craft Wondrous Item, fly",8000,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,moderate,1,16000,8000,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Boots-Winged,125,0,0,0,0
Lens of Detection,,,moderate,divination,,,,,,,,,9,eyes,1,"Craft Wondrous Item, true seeing",1750,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,1,0,0,0,0,moderate,1,3500,1750,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Lens-of-Detection,214,0,0,0,0
"Robe, Monk's",,,moderate,transmutation,,,,,,,,,10,body,1,"Craft Wondrous Item, righteous might or transformation",6500,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,moderate,1,13000,6500,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Robe-Monk-s,249,0,0,0,0
"Scrab, Golembane",,,moderate,divination,,,,,,,,,8,neck,-,"Craft Wondrous Item, detect magic, creator must be at least 10th level",1250,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,1,0,0,0,0,moderate,0,2500,1250,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Scarab-Golembane,258,0,0,0,0
Unguent of Timelessness,,,faint,transmutation,,,,,,,,,3,none,-,"Craft Wondrous Item, gentle repose",75,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,faint,0,150,75,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Unguent-of-Timelessness,270,0,0,0,0
Universal Solvent,,,faint,transmutation,,,,,,,,,3,none,-,"Craft Wondrous Item, acid arrow",25,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,faint,0,50,25,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Universal-Solvent,271,0,0,0,0
"Vestment, Druid's",,,moderate,transmutation,,,,,,,,,10,body,-,"Craft Wondrous Item, polymorph or wild shape ability",1375,Wondrous Item,PFRPG Core,,,,,,,,,,,0,0,0,0,0,0,0,0,1,moderate,0,3750,1375,,,http://www.d20pfsrd.com/magic-items/wondrous-items#TOC-Vestment-Druid-s,273,0,0,0,0
Amulet of Inescapable Location,,,moderate,abjuration,,,,,,,,,10,neck,0.5,,,Cursed,PFRPG Core,,,,,,,,,amulet of proof against detection and location,,0,0,1,0,0,0,0,0,0,moderate,0.5,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Amulet-of-Inescapable-Location,277,0,0,0,0
Armor of Arrow Attraction,,,strong,abjuration,,,,,,,,,16,body,50,,,Cursed,PFRPG Core,,,,,,,,,+3 full plate,,0,0,1,0,0,0,0,0,0,strong,50,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Armor-of-Arrow-Attraction,278,0,0,0,0
Armor of Rage,,,strong,necromancy,,,,,,,,,16,armor,50,,,Cursed,PFRPG Core,,,,,,,,,"breastplate of command, +1 breastplate",,0,0,0,0,0,0,0,1,0,strong,50,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Armor-of-Rage,279,0,0,0,0
Bag of Devouring,,,strong,conjuration,,,,,,,,,17,none,15,,,Cursed,PFRPG Core,,,,,,,,,bag of holding (any type),,0,0,0,1,0,0,0,0,0,strong,15,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Bag-of-Devouring,280,0,0,0,0
Boots of Dancing,,,strong,enchantment,,,,,,,,,16,feet,1,,,Cursed,PFRPG Core,,,,,,,,,"boots of elvenkind, boots of levitation, boots of speed, boots of striding and springing, boots of teleportation, boots of the winterlands, winged boots",,0,0,0,0,0,1,0,0,0,strong,1,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Boots-of-Dancing,281,0,0,0,0
Bracers of Defenselessness,,,strong,conjuration,,,,,,,,,16,arms,1,,,Cursed,PFRPG Core,,,,,,,,,bracers of armor +5,,0,0,0,1,0,0,0,0,0,strong,1,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Bracers-of-Defenselessness,282,0,0,0,0
Broom of Animated Attack,,,moderate,transmutation,,,,,,,,,10,none,3,,,Cursed,PFRPG Core,,,,,,,,,broom of flying,,0,0,0,0,0,0,0,0,1,moderate,3,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Broom-of-Animated-Attack,283,0,0,0,0
Crystal Hypnosis Ball,,,strong,divination,,,,,,,,,17,none,7,,,Cursed,PFRPG Core,,,,,,,,,crystal ball,,0,0,0,0,1,0,0,0,0,strong,7,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Crystal-Hypnosis-Ball,284,0,0,0,0
Dust of Sneezing and Choking,,,moderate,conjuration,,,,,,,,,7,none,-,,,Cursed,PFRPG Core,,,,,,,,,"dust of appearance, dust of tracelessness",,0,0,0,1,0,0,0,0,0,moderate,0,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Dust-of-Sneezing-and-Choking,285,0,0,0,0
Flask of Curses,,,moderate,conjuration,,,,,,,,,7,none,2,,,Cursed,PFRPG Core,,,,,,,,,"decanter of endless water, efreeti bottle, eversmoking bottle, iron flask",,0,0,0,1,0,0,0,0,0,moderate,2,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Flask-of-Curses,286,0,0,0,0
Gauntlets of Fumbling,,,moderate,transmutation,,,,,,,,,7,hands,2,,,Cursed,PFRPG Core,,,,,,,,,"gauntlet of rust, gloves of arrow snatching, glove of storing, gloves of swimming and climbing",,0,0,0,0,0,0,0,0,1,moderate,2,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Gauntlets-of-Fumbling,287,0,0,0,0
Helm of Opposite Alignment,,,strong,transmutation,,,,,,,,,12,head,3,,,Cursed,PFRPG Core,,,,,,,,,"hat of disguise, helm of comprehend languages and read magic, helm of telepathy",,0,0,0,0,0,0,0,0,1,strong,3,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Helm-of-Opposite-Alignment,288,0,0,0,0
Incense of Obsession,,,moderate,enchantment,,,,,,,,,6,none,-,,,Cursed,PFRPG Core,,,,,,,,,incense of meditation,,0,0,0,0,0,1,0,0,0,moderate,0,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Incense-of-Obsession,289,0,0,0,0
Mace of Blood,,,moderate,abjuration,,,,,,,,,8,none,8,,,Cursed,PFRPG Core,,,,,,,,,+3 heavy mace,,0,0,1,0,0,0,0,0,0,moderate,8,0,0,,,http://www.d20pfsrd.com/magic-items/cursed-items#TOC-Mace-of-Blood,290,0,0,0,0
